date,close,code,name,ret,log_ret,ma5,ma20,ma60,vol20
2020-08-17,1447.09123,sh.600519,贵州茅台,0.017459361830222786,0.01730869830382431,1413.775593564,1417.3149732084999,1319.5849979321667,0.255292151506596
2020-08-18,1459.935235,sh.600519,贵州茅台,0.008875739644970349,0.008836581800497944,1424.47721853,1418.8990671585,1325.1811535054999,0.24868213124685717
2020-08-19,1444.522429,sh.600519,贵州茅台,-0.010557184750732973,-0.010613307171648698,1434.7609852,1419.2809622405,1330.0309374771668,0.25137470223156494
2020-08-20,1424.828288,sh.600519,贵州茅台,-0.01363366923532916,-0.013727461164814575,1439.7273338,1418.7672020405003,1334.6216070438336,0.2562403223751706
2020-08-21,1435.103492,sh.600519,贵州茅台,0.007211538461538547,0.007185659660874533,1442.2961348000001,1422.2222393855,1339.6656576771668,0.18414661380241845
2020-08-24,1452.52852545,sh.600519,贵州茅台,0.012142004773269655,0.012068881943417287,1443.38359389,1425.3818646155,1344.9154872346667,0.17975350818433922
2020-08-25,1478.773109,sh.600519,贵州茅台,0.018068205264243797,0.017906915161232908,1447.1511686899998,1427.8222255654998,1350.2839222546668,0.16091465486378267
2020-08-26,1478.773109,sh.600519,贵州茅台,0.0,0.0,1454.0013046899999,1430.1769598155001,1354.9061295963331,0.16102315508562975
2020-08-27,1482.198177,sh.600519,贵州茅台,0.0023161551823971394,0.0023134770295305702,1465.47528249,1432.3604406655,1359.7094165141668,0.16062745362893024
2020-08-28,1504.461119,sh.600519,贵州茅台,0.015020219526285405,0.014908533010887959,1479.34680789,1435.7349889125,1365.0447062991668,0.16717038014863395
2020-08-31,1529.7209955,sh.600519,贵州茅台,0.016789982925441205,0.016650589276367405,1494.7853019,1440.8083708875,1370.6784095546668,0.17153865888965444
2020-09-01,1542.97600866,sh.600519,贵州茅台,0.008664987405541558,0.008627661864092534,1507.625881832,1446.459304954,1376.2930801156667,0.1722588699619396
2020-09-02,1536.999265,sh.600519,贵州茅台,-0.003873516909177699,-0.0038810384051777926,1519.271113032,1451.8966004039999,1382.0747489273333,0.17356147946275
2020-09-03,1535.286731,sh.600519,贵州茅台,-0.0011142061281337323,-0.0011148273172463972,1529.888823832,1458.534382188,1387.6804637998332,0.15484224466896607
2020-09-04,1515.59259,sh.600519,贵州茅台,-0.012827663134411527,-0.012910648037257976,1532.1151180319998,1464.485437838,1392.8576466035,0.16404833630867033
2020-09-07,1475.7761745,sh.600519,贵州茅台,-0.02627118644067794,-0.026622439610954736,1521.3261538319998,1468.3176607965001,1397.6984905755,0.1964433156303072
2020-09-08,1465.4153438,sh.600519,贵州茅台,-0.0070205976211197285,-0.007045357972965532,1505.81402086,1471.267072478,1402.142221477,0.19918354875927752
2020-09-09,1445.378696,sh.600519,贵州茅台,-0.01367301624401085,-0.01376735282805212,1487.48990706,1473.8808274955,1406.7227382603335,0.2029510053151074
2020-09-10,1460.6202486,sh.600519,贵州茅台,0.01054502369668242,0.010489812729106632,1472.55661058,1476.9120126755001,1411.2627396363334,0.2050199837404931
2020-09-11,1483.910711,sh.600519,贵州茅台,0.01594559737366641,0.01581980183059707,1466.22023478,1479.9945738755,1416.1751162363332,0.20505855557956246
2020-09-14,1512.167522,sh.600519,贵州茅台,0.019042123485285556,0.018863091448299167,1473.4985042800001,1483.2483884755,1421.4455886196665,0.20669082086322638
2020-09-15,1507.02992,sh.600519,贵州茅台,-0.003397508493771295,-0.003403293131707918,1481.82141952,1485.6031227255,1426.2518189743334,0.20608870261406226
2020-09-16,1477.1462017,sh.600519,贵州茅台,-0.019829545454545516,-0.020028789232498966,1488.17492066,1487.2343113604998,1430.5718367193333,0.21578460941529864
2020-09-17,1430.41114884,sh.600519,贵州茅台,-0.031638745579966376,-0.03215006461122237,1482.133100708,1487.5134544025,1433.6121603083334,0.2402808575465151
2020-09-18,1451.372565,sh.600519,贵州茅台,0.014654119675310717,0.014547785626074481,1475.625471508,1488.3269080525001,1436.9657300138335,0.24453292129249227
2020-09-21,1427.2258356,sh.600519,贵州茅台,-0.016637168141592884,-0.016777120266252207,1458.637134228,1487.06177356,1439.8717575006667,0.24795126454514765
2020-09-22,1426.27537923,sh.600519,贵州茅台,-0.0006659467242620121,-0.0006661685652767888,1442.486226074,1484.4368870715,1442.7660826718336,0.23779083169540333
2020-09-23,1412.82342466,sh.600519,贵州茅台,-0.009431526874748575,-0.00947628537397893,1429.621670666,1481.1394028544998,1444.9882382479998,0.2392495520330767
2020-09-24,1395.13294844,sh.600519,贵州茅台,-0.012521363895319881,-0.012600416765260053,1422.566030586,1476.7861414265,1446.205849922,0.2413473291549909
2020-09-25,1400.09073437,sh.600519,贵州茅台,0.0035536297351042023,0.0035473305119505675,1412.30966446,1471.567622195,1447.5376305293332,0.23334703275295784
2020-09-28,1422.259487,sh.600519,贵州茅台,0.015833797114567227,0.015709750257561824,1411.31639474,1466.1945467700002,1448.4081686460001,0.23226728796972254
2020-09-29,1414.8099641,sh.600519,贵州茅台,-0.005237808549066969,-0.005251573956349913,1409.023311714,1459.786244542,1447.898689781,0.22778273257719017
2020-09-30,1428.6814895,sh.600519,贵州茅台,0.00980451491859835,0.00975676253448363,1412.194924682,1454.370355767,1447.715448643,0.23317591065385007
2020-10-09,1452.228832,sh.600519,贵州茅台,0.016481869943062666,0.016347518160419718,1423.614101394,1450.2174608169998,1447.5727374763335,0.24373457693977593
2020-10-12,1498.98957287,sh.600519,贵州茅台,0.032199292452830264,0.03169176125737614,1443.393869094,1449.3873099605,1448.097343725,0.2698394524782381
2020-10-13,1489.048313,sh.600519,贵州茅台,-0.006631973997635154,-0.006654063254941463,1456.751634294,1450.0509168855,1447.4838284195,0.2533816745244886
